"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"phones","transport_car","Numerical–Categorical","Correlation ratio (η)","0.06607480464464555","0.06607480464464555"
"illum_picolamp","mant_freq","Categorical–Categorical","Cramér’s V","0.0659380473395787","0.0659380473395787"
"pv_before","mant_freq","Categorical–Categorical","Cramér’s V","0.0659380473395787","0.0659380473395787"
"children_0_5","illum_burner","Numerical–Categorical","Correlation ratio (η)","0.06582805886043833","0.06582805886043833"
"summer_migration","mant_difficulty","Categorical–Categorical","Cramér’s V","0.06577177149754995","0.06577177149754995"
"wakeup_time_after","cooking_time_min_d","Numerical–Numerical","Pearson","-0.0657452461179311","0.0657452461179311"
"act_agriculture","cooking_fuel_biomass","Numerical–Categorical","Correlation ratio (η)","0.06550445051741977","0.06550445051741977"
"act_agriculture","desired_app_phone","Numerical–Categorical","Correlation ratio (η)","0.06550445051741977","0.06550445051741977"
"act_agriculture","newly_acq_tablet","Numerical–Categorical","Correlation ratio (η)","0.06550445051741977","0.06550445051741977"
"act_agriculture","mat_wall","Numerical–Categorical","Correlation ratio (η)","0.06550445051741977","0.06550445051741977"
"act_agriculture","tech_problems_PV","Numerical–Categorical","Correlation ratio (η)","0.06550445051741977","0.06550445051741977"
"act_agriculture","newly_acq_flashlight","Numerical–Categorical","Correlation ratio (η)","0.06550445051741977","0.06550445051741977"
"light_bulb_2_time","desired_app_radio","Numerical–Categorical","Correlation ratio (η)","0.06537538026940203","0.06537538026940203"
"adults_mas_60","tech_problems_radio","Numerical–Categorical","Correlation ratio (η)","0.06516702195911579","0.06516702195911579"
"fam_head_age","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.06514885558486881","0.06514885558486881"
"sleep_time_before","cooking_improved","Numerical–Categorical","Correlation ratio (η)","0.0651142417858234","0.0651142417858234"
"sleep_time_before","cooking_rustic","Numerical–Categorical","Correlation ratio (η)","0.0651142417858234","0.0651142417858234"
"monthly_exp_illum_before","radio_time","Numerical–Numerical","Pearson","0.06510972706552354","0.06510972706552354"
